Mese,Valore
Febbraio,322
Marzo,5210
Aprile,2357
Maggio,300
Giugno,296
Luglio,274
Agosto,876
Settembre,1912
Ottobre,21273
Novembre,25852
Dicembre,19037
Gennaio,8559
